time,voltage_drain,voltage_actual,current
26541.401859,,3.319455,0.000000
26583.265862,3.103625,,0.000000
26583.265862,,3.316230,0.000000
26625.112717,3.099683,,0.000000
26625.112717,,3.313363,0.000000
26666.973856,3.095669,,0.000000
26666.973856,,3.310137,0.000000
26708.801861,3.091798,,0.000000
26708.801861,,3.307198,0.000000
26750.605906,3.087640,,0.000000
26750.605906,,3.303972,0.000000
26792.473852,3.083626,,0.000000
26792.473852,,3.300818,0.000000
26834.329855,3.079254,,0.000000
26834.329855,,3.297665,0.000000
26876.181875,3.074810,,0.000000
26876.181875,,3.294439,0.000000
26918.033841,3.070222,,0.000000
26918.033841,,3.290783,0.000000
26959.893873,3.065706,,0.000000
26959.893873,,3.287199,0.000000
27001.741858,3.060760,,0.000000
27001.741858,,3.283328,0.000000
27043.593863,3.055384,,0.000000
27043.593863,,3.279601,0.000000
27085.448686,3.050008,,0.000000
27085.448686,,3.275515,0.000000
27127.289882,3.044345,,0.000000
27127.289882,,3.271143,0.000000
27169.157882,3.038324,,0.000000
27169.157882,,3.266698,0.000000
27211.001865,3.032231,,0.000000
27211.001865,,3.261896,0.000000
27252.865886,3.025350,,0.000000
27252.865886,,3.256735,0.000000
27294.717874,3.017967,,0.000000
27294.717874,,3.251000,0.000000
27336.573884,3.010010,,0.000000
27336.573884,,3.245123,0.000000
27378.401836,3.001624,,0.000000
27378.401836,,3.237525,0.000000
27420.209094,2.992090,,0.000000
27420.209094,,3.229855,0.000000
27462.061851,2.981696,,0.000000
27462.061851,,3.222400,0.000000
27503.897818,2.970371,,0.000000
27503.897818,,3.211791,0.000000
27545.693841,2.957612,,0.000000
27545.693841,,3.202043,0.000000
27587.501814,2.943276,,0.000000
27587.501814,,3.188925,0.000000
27629.353825,2.927578,,0.000000
27629.353825,,3.174446,0.000000
27671.205838,2.909801,,0.000000
27671.205838,,3.157959,0.000000
27713.061861,2.889802,,0.000000
27713.061861,,3.139107,0.000000
27754.913852,2.866936,,0.000000
27754.913852,,3.117388,0.000000
27796.765869,2.840988,,0.000000
27796.765869,,3.092228,0.000000
27838.605866,2.811097,,0.000000
27838.605866,,3.062194,0.000000
27880.405846,2.776762,,0.000000
27915.508701,2.729381,,0.000000
27950.601883,2.678631,,0.000000
27985.703852,2.621072,,0.000000
28000.961805,2.978041,,0.000000
