time,voltage,current
275.599949,3.094390,1.999537
276.119964,3.094104,1.999511
276.639944,3.093814,1.999564
277.159951,3.093526,1.999511
277.679986,3.093239,1.999537
278.199977,3.092950,1.999537
278.719979,3.092664,1.999498
279.239979,3.092376,1.999537
279.759985,3.092087,1.999524
280.279964,3.091801,1.999564
280.799975,3.091513,1.999550
281.319993,3.091224,1.999537
281.840020,3.090933,1.999511
282.359973,3.090644,1.999537
282.879980,3.090357,1.999511
283.399963,3.090067,1.999511
283.919977,3.089782,1.999511
284.439938,3.089490,1.999537
284.959967,3.089203,1.999564
285.479972,3.088918,1.999550
285.999978,3.088628,1.999537
286.519979,3.088335,1.999511
287.039982,3.088045,1.999498
287.559974,3.087751,1.999524
288.079939,3.087455,1.999550
288.599951,3.087168,1.999550
289.119962,3.086877,1.999537
289.639979,3.086581,1.999537
290.159980,3.086289,1.999498
290.679965,3.085995,1.999524
291.199971,3.085702,1.999524
291.719963,3.085412,1.999537
292.239969,3.085121,1.999550
292.759971,3.084830,1.999550
293.279954,3.084537,1.999537
293.799965,3.084245,1.999564
294.319963,3.083952,1.999498
294.839962,3.083659,1.999485
295.359974,3.083366,1.999511
295.879958,3.083071,1.999550
296.399961,3.082775,1.999524
296.920009,3.082480,1.999550
297.439969,3.082185,1.999550
297.959981,3.081888,1.999564
298.479977,3.081592,1.999550
298.999978,3.081294,1.999537
299.519967,3.080995,1.999511
300.039977,3.080696,1.999550
300.559979,3.080392,1.999550
301.079982,3.080094,1.999537
301.599973,3.079791,1.999524
302.119977,3.079492,1.999524
302.639984,3.079194,1.999537
303.159985,3.078893,1.999550
303.679961,3.078598,1.999564
304.199974,3.078301,1.999577
304.719976,3.078002,1.999550
305.239978,3.077702,1.999550
305.759976,3.077404,1.999550
306.279977,3.077105,1.999537
306.799982,3.076808,1.999537
307.319976,3.076510,1.999577
307.839980,3.076211,1.999550
308.359975,3.075915,1.999564
308.879979,3.075615,1.999550
309.399968,3.075318,1.999524
309.919974,3.075020,1.999537
310.439968,3.074722,1.999537
310.959941,3.074424,1.999550
311.479973,3.074126,1.999577
311.999972,3.073826,1.999550
312.519970,3.073527,1.999511
313.039970,3.073228,1.999524
313.559972,3.072930,1.999550
314.079973,3.072632,1.999550
314.599983,3.072335,1.999564
315.119977,3.072033,1.999550
315.639976,3.071734,1.999577
316.159983,3.071438,1.999564
316.679974,3.071139,1.999524
317.199971,3.070841,1.999472
317.719976,3.070541,1.999537
318.239979,3.070247,1.999564
318.759982,3.069951,1.999564
319.279974,3.069650,1.999550
319.799979,3.069354,1.999524
320.319983,3.069054,1.999537
320.839978,3.068760,1.999564
321.359979,3.068467,1.999577
321.880014,3.068167,1.999577
322.399976,3.067871,1.999550
322.919975,3.067578,1.999537
323.439974,3.067278,1.999550
323.959968,3.066982,1.999564
324.479943,3.066684,1.999590
324.999942,3.066387,1.999564
325.519952,3.066090,1.999524
326.039954,3.065791,1.999564
326.559958,3.065500,1.999550
327.079964,3.065200,1.999550
327.599961,3.064903,1.999564
328.119983,3.064604,1.999577
328.639961,3.064307,1.999590
329.159980,3.064009,1.999550
329.679961,3.063709,1.999537
330.199948,3.063410,1.999472
330.719958,3.063110,1.999577
331.239947,3.062808,1.999564
331.759959,3.062510,1.999577
332.279958,3.062206,1.999577
332.799963,3.061907,1.999590
333.319963,3.061603,1.999550
333.839955,3.061301,1.999537
334.359963,3.060997,1.999564
334.879970,3.060692,1.999485
335.400011,3.060385,1.999564
335.919990,3.060083,1.999603
336.439977,3.059778,1.999564
336.959976,3.059474,1.999537
337.479975,3.059165,1.999550
337.999992,3.058861,1.999537
338.519976,3.058555,1.999577
339.039979,3.058251,1.999577
339.559974,3.057951,1.999564
340.079972,3.057645,1.999550
340.599971,3.057345,1.999550
341.119951,3.057041,1.999537
341.639973,3.056737,1.999564
342.159976,3.056431,1.999537
342.679984,3.056125,1.999590
343.199975,3.055818,1.999550
343.719973,3.055507,1.999550
344.239976,3.055193,1.999550
344.759977,3.054884,1.999537
345.279983,3.054567,1.999577
345.799978,3.054257,1.999590
346.319975,3.053946,1.999603
346.839974,3.053637,1.999577
347.359977,3.053329,1.999550
347.879978,3.053021,1.999472
348.399975,3.052714,1.999564
348.920017,3.052410,1.999577
349.439979,3.052103,1.999577
349.959983,3.051794,1.999577
350.479980,3.051491,1.999577
350.999973,3.051181,1.999524
351.519944,3.050874,1.999577
352.039978,3.050570,1.999577
352.559974,3.050259,1.999537
353.079979,3.049954,1.999577
353.599977,3.049650,1.999537
354.119979,3.049343,1.999537
354.639976,3.049038,1.999564
355.159993,3.048732,1.999616
355.679970,3.048424,1.999603
356.199944,3.048121,1.999564
356.719955,3.047814,1.999564
357.239944,3.047507,1.999564
357.759950,3.047198,1.999564
358.279953,3.046892,1.999564
358.799947,3.046587,1.999590
359.319965,3.046280,1.999590
359.839959,3.045971,1.999577
360.359960,3.045667,1.999577
360.879950,3.045361,1.999537
361.399959,3.045055,1.999550
361.919977,3.044752,1.999537
362.439983,3.044445,1.999564
362.959990,3.044139,1.999564
363.479972,3.043833,1.999577
363.999971,3.043526,1.999577
364.519978,3.043219,1.999564
365.039979,3.042912,1.999564
365.559966,3.042608,1.999511
366.079949,3.042299,1.999564
366.599973,3.041995,1.999550
367.119967,3.041686,1.999603
367.639956,3.041383,1.999577
368.159956,3.041072,1.999590
368.679946,3.040764,1.999564
369.199970,3.040461,1.999564
369.719976,3.040152,1.999577
370.239970,3.039848,1.999590
370.759958,3.039538,1.999603
371.279942,3.039227,1.999577
371.799945,3.038920,1.999577
372.319948,3.038610,1.999564
372.839958,3.038299,1.999577
373.359948,3.037990,1.999577
373.879958,3.037679,1.999590
374.399946,3.037370,1.999603
374.919949,3.037063,1.999577
375.440014,3.036750,1.999564
375.959962,3.036441,1.999511
376.479971,3.036130,1.999564
376.999966,3.035818,1.999577
377.519951,3.035505,1.999577
378.039939,3.035196,1.999590
378.559949,3.034883,1.999603
379.079952,3.034571,1.999603
379.599951,3.034260,1.999590
380.119943,3.033947,1.999590
380.639960,3.033635,1.999550
381.159983,3.033327,1.999564
381.679963,3.033013,1.999577
382.199963,3.032707,1.999577
382.719961,3.032395,1.999577
383.239959,3.032083,1.999590
383.759962,3.031767,1.999590
384.279941,3.031458,1.999577
384.799944,3.031146,1.999577
385.319944,3.030834,1.999577
385.839955,3.030515,1.999590
386.359950,3.030203,1.999590
386.879977,3.029883,1.999590
387.399972,3.029567,1.999577
387.919976,3.029239,1.999590
388.439981,3.028919,1.999577
388.960019,3.028594,1.999564
389.479978,3.028269,1.999590
389.999972,3.027941,1.999590
390.519973,3.027616,1.999577
391.039976,3.027288,1.999550
391.559974,3.026959,1.999603
392.079975,3.026635,1.999590
392.599972,3.026307,1.999603
393.119952,3.025978,1.999564
393.639973,3.025656,1.999524
394.159975,3.025329,1.999577
394.679965,3.024999,1.999577
395.199961,3.024674,1.999603
395.719946,3.024347,1.999590
396.239959,3.024019,1.999603
396.759971,3.023691,1.999590
397.279944,3.023365,1.999564
397.799952,3.023033,1.999590
398.319960,3.022703,1.999524
398.839960,3.022371,1.999590
399.359963,3.022042,1.999603
399.879958,3.021713,1.999616
400.399944,3.021384,1.999590
400.919976,3.021056,1.999577
401.439971,3.020726,1.999577
401.959979,3.020400,1.999590
402.480016,3.020071,1.999590
402.999980,3.019743,1.999616
403.519981,3.019414,1.999629
404.039976,3.019081,1.999590
404.559981,3.018753,1.999603
405.079976,3.018424,1.999590
405.599975,3.018098,1.999590
406.119976,3.017765,1.999590
406.639976,3.017437,1.999577
407.159981,3.017107,1.999616
407.679974,3.016781,1.999590
408.199983,3.016445,1.999564
408.719976,3.016115,1.999603
409.239981,3.015788,1.999603
409.759973,3.015457,1.999603
410.279979,3.015125,1.999603
410.799971,3.014791,1.999590
411.320037,3.014458,1.999524
411.839943,3.014121,1.999577
412.359944,3.013787,1.999616
412.879974,3.013456,1.999629
413.399953,3.013124,1.999616
413.919968,3.012792,1.999603
414.439973,3.012461,1.999564
414.959963,3.012132,1.999616
415.479952,3.011796,1.999603
415.999977,3.011462,1.999590
416.519975,3.011123,1.999616
417.039979,3.010786,1.999590
417.559968,3.010449,1.999616
418.079940,3.010114,1.999577
418.599964,3.009780,1.999603
419.119958,3.009447,1.999629
419.639980,3.009110,1.999603
420.159966,3.008776,1.999616
420.679945,3.008446,1.999590
421.199966,3.008106,1.999590
421.719959,3.007768,1.999603
422.239971,3.007429,1.999616
422.759970,3.007086,1.999642
423.279959,3.006745,1.999603
423.799957,3.006403,1.999577
424.319955,3.006060,1.999590
424.839959,3.005714,1.999590
425.359961,3.005368,1.999603
425.879949,3.005030,1.999590
426.399947,3.004694,1.999603
426.919964,3.004358,1.999629
427.439973,3.004025,1.999603
427.959973,3.003688,1.999603
428.479982,3.003354,1.999577
429.000017,3.003019,1.999564
429.519979,3.002682,1.999616
430.039977,3.002348,1.999577
430.559976,3.002010,1.999577
431.079980,3.001672,1.999616
431.599972,3.001339,1.999629
432.119976,3.001003,1.999603
432.639978,3.000665,1.999590
433.159991,3.000332,1.999603
433.679978,2.999998,1.999577
434.199976,2.999659,1.999603
434.719982,2.999324,1.999590
435.239978,2.998985,1.999603
435.759971,2.998650,1.999616
436.279974,2.998315,1.999616
436.799973,2.997974,1.999616
437.319983,2.997636,1.999550
437.839959,2.997298,1.999577
438.359958,2.996960,1.999616
438.879965,2.996626,1.999629
439.399949,2.996285,1.999603
439.919959,2.995950,1.999603
440.439948,2.995611,1.999590
440.959959,2.995274,1.999629
441.479965,2.994933,1.999616
441.999956,2.994595,1.999577
442.519995,2.994255,1.999603
443.039962,2.993915,1.999577
