seconds,	voltage
1069.435850,	142.506390	
1070.845848,	142.504710	
1072.255850,	142.503030	
1073.665851,	142.501350	
1075.075863,	142.499540	
1076.485850,	142.497730	
1077.895851,	142.496180	
1079.305851,	142.494240	
1080.715846,	142.492690	
1082.125844,	142.490880	
1083.535845,	142.489330	
1084.945854,	142.487390	
1086.355847,	142.485580	
1087.765848,	142.484160	
1089.175853,	142.481970	
1090.585844,	142.480550	
1091.995849,	142.478870	
1093.405849,	142.476930	
1094.815845,	142.475630	
1096.225854,	142.473700	
1097.635849,	142.472020	
1099.045855,	142.470340	
1100.455847,	142.468660	
1101.865852,	142.466850	
1103.275841,	142.464910	
1104.685850,	142.463490	
1106.095851,	142.461550	
1107.505848,	142.459870	
1108.915850,	142.458060	
1110.325845,	142.456510	
1111.735850,	142.454830	
1113.145849,	142.453280	
1114.555850,	142.451600	
1115.965844,	142.449790	
1117.375848,	142.448110	
1118.785844,	142.446430	
1120.195852,	142.444750	
1121.605855,	142.442810	
1123.015845,	142.441130	
1124.425852,	142.439450	
1125.835848,	142.437770	
1127.245849,	142.435960	
1128.655851,	142.434410	
1130.065851,	142.432860	
1131.475846,	142.431050	
1132.885837,	142.429500	
1134.295838,	142.427560	
1135.705847,	142.425880	
1137.115842,	142.424070	
1138.525843,	142.422650	
1139.935842,	142.420840	
1141.345851,	142.419290	
1142.755847,	142.417230	
1144.165838,	142.415550	
1145.575845,	142.414120	
1146.985842,	142.412440	
1148.395843,	142.411150	
1149.805833,	142.409080	
1151.215836,	142.407660	
1152.625838,	142.405850	
1154.035840,	142.404040	
1155.445842,	142.402490	
1156.855840,	142.400940	
1158.265852,	142.399130	
1159.675852,	142.397320	
1161.085846,	142.395900	
1162.495850,	142.394090	
1163.905845,	142.392410	
1165.315838,	142.390730	
1166.725842,	142.389050	
1168.135838,	142.387370	
1169.545847,	142.385820	
1170.955848,	142.384140	
1172.365854,	142.382330	
1173.775843,	142.380650	
1175.185852,	142.378850	
1176.595848,	142.377420	
1178.005856,	142.375620	
1179.415858,	142.374060	
1180.825851,	142.372640	
1182.235850,	142.370700	
1183.645851,	142.369150	
1185.055849,	142.367600	
1186.465855,	142.365660	
1187.875844,	142.364240	
1189.285851,	142.362310	
1190.695849,	142.360750	
1192.105854,	142.359070	
1193.515857,	142.357780	
1194.925853,	142.355970	
1196.335850,	142.354420	
1197.745845,	142.352480	
1199.155858,	142.350930	
1200.565866,	142.349250	
1201.975840,	142.347700	
1203.385857,	142.345760	
1204.795848,	142.344470	
1206.205852,	142.342920	
1207.615846,	142.341110	
1209.025848,	142.339040	
1210.435850,	142.337750	
1211.845850,	142.336200	
1213.255851,	142.334520	
1214.665849,	142.332970	
